x,y,color,pen down?,x,y,color,pen down?,x,y,color,pen down?
0,0,15,true,0,0,105,true,0,0,65,true
1,1,15,true,1,0,105,true,1,999,65,true
2,1,15,true,2,0,105,true,2,999,65,true
3,1,15,true,3,0,105,true,3,999,65,true
4,1,15,true,4,0,105,true,4,999,65,true
5,1,15,true,5,0,105,true,5,999,65,true
6,1,15,true,6,0,105,true,6,999,65,true
7,1,15,true,7,0,105,true,7,999,65,true
8,1,15,true,8,0,105,true,8,999,65,true
9,1,15,true,9,0,105,true,9,999,65,true
10,1,15,true,10,0,105,true,10,999,65,true
11,1,15,true,11,0,105,true,11,999,65,true
12,1,15,true,12,0,105,true,12,999,65,true
13,1,15,true,13,0,105,true,13,999,65,true
14,1,15,true,14,0,105,true,14,999,65,true
15,1,15,true,15,0,105,true,15,999,65,true
16,1,15,true,16,0,105,true,16,999,65,true
17,1,15,true,17,0,105,true,17,999,65,true
18,1,15,true,18,0,105,true,18,999,65,true
19,1,15,true,19,0,105,true,19,999,65,true
20,1,15,true,20,0,105,true,20,999,65,true
21,1,15,true,21,0,105,true,21,999,65,true
22,1,15,true,22,0,105,true,22,999,65,true
23,1,15,true,23,0,105,true,23,999,65,true
24,1,15,true,24,0,105,true,24,999,65,true
25,1,15,true,25,0,105,true,25,999,65,true
26,1,15,true,26,0,105,true,26,999,65,true
27,1,15,true,27,0,105,true,27,999,65,true
28,1,15,true,28,0,105,true,28,999,65,true
29,1,15,true,29,0,105,true,29,999,65,true
30,1,15,true,30,0,105,true,30,999,65,true
31,1,15,true,31,0,105,true,31,999,65,true
32,1,15,true,32,0,105,true,32,999,65,true
33,1,15,true,33,0,105,true,33,999,65,true
34,1,15,true,34,0,105,true,34,999,65,true
35,1,15,true,35,0,105,true,35,999,65,true
36,1,15,true,36,0,105,true,36,999,65,true
37,1,15,true,37,0,105,true,37,999,65,true
38,1,15,true,38,0,105,true,38,999,65,true
39,1,15,true,39,0,105,true,39,999,65,true
40,1,15,true,40,0,105,true,40,999,65,true
41,1,15,true,41,0,105,true,41,999,65,true
42,1,15,true,42,0,105,true,42,999,65,true
43,1,15,true,43,0,105,true,43,999,65,true
44,1,15,true,44,0,105,true,44,999,65,true
45,1,15,true,45,0,105,true,45,999,65,true
46,1,15,true,46,0,105,true,46,999,65,true
47,1,15,true,47,0,105,true,47,999,65,true
48,1,15,true,48,0,105,true,48,999,65,true
49,1,15,true,49,0,105,true,49,999,65,true
50,1,15,true,50,0,105,true,50,999,65,true
51,1,15,true,51,0,105,true,51,999,65,true
52,1,15,true,52,0,105,true,52,999,65,true
53,1,15,true,53,0,105,true,53,999,65,true
54,1,15,true,54,0,105,true,54,999,65,true
55,1,15,true,55,0,105,true,55,999,65,true
56,1,15,true,56,0,105,true,56,999,65,true
57,1,15,true,57,0,105,true,57,999,65,true
58,1,15,true,58,0,105,true,58,999,65,true
59,1,15,true,59,0,105,true,59,999,65,true
60,1,15,true,60,0,105,true,60,999,65,true
61,1,15,true,61,0,105,true,61,999,65,true
62,1,15,true,62,0,105,true,62,999,65,true
63,1,15,true,63,0,105,true,63,999,65,true
64,1,15,true,64,0,105,true,64,999,65,true
65,1,15,true,65,0,105,true,65,999,65,true
66,1,15,true,66,0,105,true,66,999,65,true
67,1,15,true,67,0,105,true,67,999,65,true
68,1,15,true,68,0,105,true,68,999,65,true
69,1,15,true,69,0,105,true,69,999,65,true
70,1,15,true,70,0,105,true,70,999,65,true
71,1,15,true,71,0,105,true,71,999,65,true
72,1,15,true,72,0,105,true,72,999,65,true
73,1,15,true,73,0,105,true,73,999,65,true
74,1,15,true,74,0,105,true,74,999,65,true
75,1,15,true,75,0,105,true,75,999,65,true
76,1,15,true,76,0,105,true,76,999,65,true
77,1,15,true,77,0,105,true,77,999,65,true
78,1,15,true,78,0,105,true,78,999,65,true
79,1,15,true,79,0,105,true,79,999,65,true
80,1,15,true,80,0,105,true,80,999,65,true
81,1,15,true,81,0,105,true,81,999,65,true
82,1,15,true,82,0,105,true,82,999,65,true
83,1,15,true,83,0,105,true,83,999,65,true
84,2,15,true,84,0,105,true,84,998,65,true
85,2,15,true,85,0,105,true,85,998,65,true
86,2,15,true,86,0,105,true,86,998,65,true
87,2,15,true,87,0,105,true,87,998,65,true
88,2,15,true,88,0,105,true,88,998,65,true
89,2,15,true,89,0,105,true,89,998,65,true
90,2,15,true,90,0,105,true,90,998,65,true
91,2,15,true,91,0,105,true,91,998,65,true
92,2,15,true,92,0,105,true,92,998,65,true
93,2,15,true,93,0,105,true,93,998,65,true
94,2,15,true,94,0,105,true,94,998,65,true
95,3,15,true,95,0,105,true,95,997,65,true
96,3,15,true,96,0,105,true,96,997,65,true
97,3,15,true,97,0,105,true,97,997,65,true
98,3,15,true,98,0,105,true,98,997,65,true
99,3,15,true,99,0,105,true,99,997,65,true
100,3,15,true,100,0,105,true,100,997,65,true
101,3,15,true,101,0,105,true,101,997,65,true
102,3,15,true,102,0,105,true,102,997,65,true
103,3,15,true,103,0,105,true,103,997,65,true
104,3,15,true,104,0,105,true,104,997,65,true
105,3,15,true,105,0,105,true,105,997,65,true
106,3,15,true,106,0,105,true,106,997,65,true
107,3,15,true,107,0,105,true,107,997,65,true
108,3,15,true,108,0,105,true,108,997,65,true
109,3,15,true,109,0,105,true,109,997,65,true
110,3,15,true,110,0,105,true,110,997,65,true
111,4,15,true,111,0,105,true,111,996,65,true
112,4,15,true,112,0,105,true,112,996,65,true
113,4,15,true,113,0,105,true,113,996,65,true
114,4,15,true,114,0,105,true,114,996,65,true
115,4,15,true,115,0,105,true,115,996,65,true
116,5,15,true,116,0,105,true,116,995,65,true
117,5,15,true,117,0,105,true,117,995,65,true
118,5,15,true,118,0,105,true,118,995,65,true
119,5,15,true,119,0,105,true,119,995,65,true
120,5,15,true,120,0,105,true,120,995,65,true
121,5,15,true,121,0,105,true,121,995,65,true
122,5,15,true,122,0,105,true,122,995,65,true
123,5,15,true,123,0,105,true,123,995,65,true
124,5,15,true,124,0,105,true,124,995,65,true
125,5,15,true,125,0,105,true,125,995,65,true
126,5,15,true,126,0,105,true,126,995,65,true
127,5,15,true,127,0,105,true,127,995,65,true
128,6,15,true,128,0,105,true,128,994,65,true
129,6,15,true,129,0,105,true,129,994,65,true
130,6,15,true,130,0,105,true,130,994,65,true
131,6,15,true,131,0,105,true,131,994,65,true
132,6,15,true,132,0,105,true,132,994,65,true
133,6,15,true,133,0,105,true,133,994,65,true
134,6,15,true,134,0,105,true,134,994,65,true
135,6,15,true,135,0,105,true,135,994,65,true
136,6,15,true,136,0,105,true,136,994,65,true
137,6,15,true,137,0,105,true,137,994,65,true
138,6,15,true,138,0,105,true,138,994,65,true
139,7,15,true,139,0,105,true,139,993,65,true
140,8,15,true,140,0,105,true,140,992,65,true
141,8,15,true,141,0,105,true,141,992,65,true
142,8,15,true,142,0,105,true,142,992,65,true
143,8,15,true,143,0,105,true,143,992,65,true
144,9,15,true,144,0,105,true,144,991,65,true
145,9,15,true,145,0,105,true,145,991,65,true
146,9,15,true,146,0,105,true,146,991,65,true
147,9,15,true,147,0,105,true,147,991,65,true
148,9,15,true,148,0,105,true,148,991,65,true
149,9,15,true,149,0,105,true,149,991,65,true
150,9,15,true,150,0,105,true,150,991,65,true
151,9,15,true,151,0,105,true,151,991,65,true
152,10,15,true,152,0,105,true,152,990,65,true
153,10,15,true,153,0,105,true,153,990,65,true
154,10,15,true,154,0,105,true,154,990,65,true
155,10,15,true,155,0,105,true,155,990,65,true
156,10,15,true,156,0,105,true,156,990,65,true
157,10,15,true,157,0,105,true,157,990,65,true
158,10,15,true,158,0,105,true,158,990,65,true
159,10,15,true,159,0,105,true,159,990,65,true
160,10,15,true,160,0,105,true,160,990,65,true
161,11,15,true,161,0,105,true,161,989,65,true
162,11,15,true,162,0,105,true,162,989,65,true
163,11,15,true,163,0,105,true,163,989,65,true
164,11,15,true,164,0,105,true,164,989,65,true
165,11,15,true,165,0,105,true,165,989,65,true
